res_grp_cd,res_grp_nm,res_cd,res_nm,item_cd,item_nm,yymmdd,time_index_type,prod_qty
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124414,중국 청도법인 말랑카우 밀크 63g,2022-05-02,D,16.45
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124414,중국 청도법인 말랑카우 밀크 63g,2022-05-02,N,582.55
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-04-25,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-04-25,N,236.36
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-04-26,D,1636.36
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-04-26,N,2358.27
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-04-27,D,1636.36
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-04-27,N,1526.64
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-05-02,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-05-02,N,365.45
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-05-03,D,1308.55
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-05-03,N,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124787,말랑카우 딸기 8봉 158g,2022-04-27,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124787,말랑카우 딸기 8봉 158g,2022-04-27,N,2400.64
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124787,말랑카우 딸기 8봉 158g,2022-04-28,D,1129.36
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124787,말랑카우 딸기 8봉 158g,2022-04-28,N,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124787,말랑카우 딸기 8봉 158g,2022-05-02,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124787,말랑카우 딸기 8봉 158g,2022-05-02,N,938.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5125825,중국 청도법인 말랑카우 딸기 63g,2022-05-02,D,617.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5125825,중국 청도법인 말랑카우 딸기 63g,2022-05-02,N,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5129867,말랑카우 밀크 79g (LS),2022-04-25,D,1636.36
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5129867,말랑카우 밀크 79g (LS),2022-04-25,N,3363.64
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5129867,말랑카우 밀크 79g (LS),2022-04-28,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5129867,말랑카우 밀크 79g (LS),2022-04-28,N,141.27
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5129867,말랑카우 밀크 79g (LS),2022-04-29,D,1636.36
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5129867,말랑카우 밀크 79g (LS),2022-04-29,N,2945.45
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5129867,말랑카우 밀크 79g (LS),2022-05-02,D,789.91
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5129867,말랑카우 밀크 79g (LS),2022-05-02,N,1237.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5129868,말랑카우 딸기 79g (LS),2022-04-26,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5129868,말랑카우 딸기 79g (LS),2022-04-26,N,1000.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5129868,말랑카우 딸기 79g (LS),2022-04-28,D,507.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5129868,말랑카우 딸기 79g (LS),2022-04-28,N,3300.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5129868,말랑카우 딸기 79g (LS),2022-05-02,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5129868,말랑카우 딸기 79g (LS),2022-05-02,N,477.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5140686,일본 ISI 말랑카우 밀크 63g,2022-04-28,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5140686,일본 ISI 말랑카우 밀크 63g,2022-04-28,N,486.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5141313,일본 말랑카우 딸기 63g,2022-04-26,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5141313,일본 말랑카우 딸기 63g,2022-04-26,N,469.0
