res_grp_cd,res_grp_nm,res_cd,res_nm,item_cd,item_nm,yymmdd,type,qty
3203,평비S-1,10001339,"평택_비스켓_S/L-1,2^TWIN PILLOW 포장기",5107671,카스타드 138g,2022-04-19,N,0.0
3203,평비S-1,10001339,"평택_비스켓_S/L-1,2^TWIN PILLOW 포장기",5141760,미주 딸기카스타드 220g,2022-04-18,D,179.0
3203,평비S-1,10001339,"평택_비스켓_S/L-1,2^TWIN PILLOW 포장기",5141760,미주 딸기카스타드 220g,2022-04-18,N,0.0
3202,평비P-2,10001450,평택_비스켓_P/L-2^H-PILLOW 포장기 #1,5124830,엄마손파이 단품 127g,2022-04-18,D,1125.0
3202,평비P-2,10001450,평택_비스켓_P/L-2^H-PILLOW 포장기 #1,5124830,엄마손파이 단품 127g,2022-04-18,N,2700.0
3202,평비P-2,10001450,평택_비스켓_P/L-2^H-PILLOW 포장기 #1,5124830,엄마손파이 단품 127g,2022-04-19,D,175.0
3202,평비P-2,10001450,평택_비스켓_P/L-2^H-PILLOW 포장기 #1,5124830,엄마손파이 단품 127g,2022-04-19,N,0.0
3202,평비P-2,10001450,평택_비스켓_P/L-2^H-PILLOW 포장기 #1,5124851,엄마손파이 벌크 254g,2022-04-18,D,857.14
3202,평비P-2,10001450,평택_비스켓_P/L-2^H-PILLOW 포장기 #1,5124851,엄마손파이 벌크 254g,2022-04-18,N,2057.14
3202,평비P-2,10001450,평택_비스켓_P/L-2^H-PILLOW 포장기 #1,5124851,엄마손파이 벌크 254g,2022-04-19,D,1085.71
3202,평비P-2,10001450,평택_비스켓_P/L-2^H-PILLOW 포장기 #1,5124851,엄마손파이 벌크 254g,2022-04-19,N,0.0
3202,평비P-2,10001450,평택_비스켓_P/L-2^H-PILLOW 포장기 #1,5124851,엄마손파이 벌크 254g,2022-04-19,D,42.0
3202,평비P-2,10001450,평택_비스켓_P/L-2^H-PILLOW 포장기 #1,5124851,엄마손파이 벌크 254g,2022-04-19,N,0.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5107372,몽쉘 딸기 소 192g (PX),2022-04-21,D,2331.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5107372,몽쉘 딸기 소 192g (PX),2022-04-21,N,735.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5127761,GENKY 몽쉘 크림 192g,2022-04-18,D,0.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5127761,GENKY 몽쉘 크림 192g,2022-04-18,N,1642.86
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5127761,GENKY 몽쉘 크림 192g,2022-04-19,D,397.14
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5127761,GENKY 몽쉘 크림 192g,2022-04-19,N,0.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5128589,미국 몽쉘 카카오 192g,2022-04-18,D,0.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5128589,미국 몽쉘 카카오 192g,2022-04-18,N,800.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5128601,미국 몽쉘 카카오 384g,2022-04-18,D,1100.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5128601,미국 몽쉘 카카오 384g,2022-04-18,N,0.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5139979,몽쉘 생크림 오리지널 소 192g,2022-04-19,D,0.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5139979,몽쉘 생크림 오리지널 소 192g,2022-04-19,N,3483.71
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5139979,몽쉘 생크림 오리지널 소 192g,2022-04-20,D,5339.29
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5139979,몽쉘 생크림 오리지널 소 192g,2022-04-20,N,0.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5139979,몽쉘 생크림 오리지널 소 192g,2022-04-19,D,5774.29
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5139979,몽쉘 생크림 오리지널 소 192g,2022-04-19,N,2525.71
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140022,몽쉘 생크림 카카오 소 192g,2022-04-20,D,832.14
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140022,몽쉘 생크림 카카오 소 192g,2022-04-20,N,6171.43
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140022,몽쉘 생크림 카카오 소 192g,2022-04-21,D,1950.43
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140022,몽쉘 생크림 카카오 소 192g,2022-04-21,N,0.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140022,몽쉘 생크림 카카오 소 192g,2022-04-18,D,2571.43
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140022,몽쉘 생크림 카카오 소 192g,2022-04-18,N,3728.57
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140025,몽쉘 생크림 오리지널 대 336g (EC),2022-04-21,D,2325.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140025,몽쉘 생크림 오리지널 대 336g (EC),2022-04-21,N,0.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140026,몽쉘 생크림 카카오 대 336g (EC),2022-04-23,D,803.71
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140026,몽쉘 생크림 카카오 대 336g (EC),2022-04-23,N,691.29
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140532,수출공통 몽쉘 딸기 6봉 192g,2022-04-21,D,631.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140532,수출공통 몽쉘 딸기 6봉 192g,2022-04-21,N,0.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140895,몽쉘 생크림 오리지널 대 384g (공통),2022-04-18,D,1471.43
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140895,몽쉘 생크림 오리지널 대 384g (공통),2022-04-18,N,6171.43
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140895,몽쉘 생크림 오리지널 대 384g (공통),2022-04-20,D,614.29
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140895,몽쉘 생크림 오리지널 대 384g (공통),2022-04-20,N,0.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140895,몽쉘 생크림 오리지널 대 384g (공통),2022-04-19,D,6171.43
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140895,몽쉘 생크림 오리지널 대 384g (공통),2022-04-19,N,6171.43
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140895,몽쉘 생크림 오리지널 대 384g (공통),2022-04-22,D,0.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140895,몽쉘 생크림 오리지널 대 384g (공통),2022-04-22,N,4840.29
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140895,몽쉘 생크림 오리지널 대 384g (공통),2022-04-23,D,5367.71
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140895,몽쉘 생크림 오리지널 대 384g (공통),2022-04-23,N,0.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140896,몽쉘 생크림 카카오 대 384g (공통),2022-04-21,D,2890.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140896,몽쉘 생크림 카카오 대 384g (공통),2022-04-21,N,6171.43
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140896,몽쉘 생크림 카카오 대 384g (공통),2022-04-22,D,6171.43
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140896,몽쉘 생크림 카카오 대 384g (공통),2022-04-22,N,1331.14
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140896,몽쉘 생크림 카카오 대 384g (공통),2022-04-20,D,5557.14
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140896,몽쉘 생크림 카카오 대 384g (공통),2022-04-20,N,6171.43
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140896,몽쉘 생크림 카카오 대 384g (공통),2022-04-21,D,871.43
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5140896,몽쉘 생크림 카카오 대 384g (공통),2022-04-21,N,0.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5141447,일본 KIRINDO 몽쉘 크림 192g,2022-04-21,D,330.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5141447,일본 KIRINDO 몽쉘 크림 192g,2022-04-21,N,0.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5142178,일본 이온사 몽쉘 크림 소 192g,2022-04-21,D,511.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5142178,일본 이온사 몽쉘 크림 소 192g,2022-04-21,N,0.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5142248,중국 수출용 몽쉘 크림 192g,2022-04-21,D,162.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5142248,중국 수출용 몽쉘 크림 192g,2022-04-21,N,0.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5142249,중국 수출용 몽쉘 카카오 192g,2022-04-19,D,0.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5142249,중국 수출용 몽쉘 카카오 192g,2022-04-19,N,162.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5142584,일본 KIRINDO 몽쉘 카카오 192G,2022-04-21,D,256.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5142584,일본 KIRINDO 몽쉘 카카오 192G,2022-04-21,N,0.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5142590,수출공통 몽쉘 딸기 12봉 384g,2022-04-21,D,85.0
3204,평비S-3,10001520,평택_비스켓_S/L-3^TWIN PILLOW 포장기 #1,5142590,수출공통 몽쉘 딸기 12봉 384g,2022-04-21,N,0.0
3205,평비S-4,10001574,평택_비스켓_S/L-4^TWIN PILLOW 포장기,5100334,칙촉 오리지널 단품 90g,2022-04-19,D,0.0
3205,평비S-4,10001574,평택_비스켓_S/L-4^TWIN PILLOW 포장기,5100334,칙촉 오리지널 단품 90g,2022-04-19,N,2042.86
3205,평비S-4,10001574,평택_비스켓_S/L-4^TWIN PILLOW 포장기,5100334,칙촉 오리지널 단품 90g,2022-04-20,D,1957.14
3205,평비S-4,10001574,평택_비스켓_S/L-4^TWIN PILLOW 포장기,5100334,칙촉 오리지널 단품 90g,2022-04-20,N,0.0
3205,평비S-4,10001574,평택_비스켓_S/L-4^TWIN PILLOW 포장기,5140082,칙촉 티라미수 단품 90g,2022-04-20,D,217.0
3205,평비S-4,10001574,평택_비스켓_S/L-4^TWIN PILLOW 포장기,5140082,칙촉 티라미수 단품 90g,2022-04-20,N,0.0
3205,평비S-4,10001574,평택_비스켓_S/L-4^TWIN PILLOW 포장기,5142653,칙촉 오리지널 6+2입 120g,2022-04-18,D,1285.71
3205,평비S-4,10001574,평택_비스켓_S/L-4^TWIN PILLOW 포장기,5142653,칙촉 오리지널 6+2입 120g,2022-04-18,N,3085.71
