res_grp_cd,res_grp_nm,res_cd,res_nm,item_cd,item_nm,yymmdd,time_index_type,prod_qty
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124414,중국 청도법인 말랑카우 밀크 63g,2022-04-27,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124414,중국 청도법인 말랑카우 밀크 63g,2022-04-27,N,599.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-04-25,D,1636.36
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-04-25,N,2363.64
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-04-28,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-04-28,N,2723.27
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-04-29,D,670.73
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-04-29,N,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-05-02,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-05-02,N,365.45
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-05-03,D,1308.55
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-05-03,N,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124787,말랑카우 딸기 8봉 158g,2022-04-26,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124787,말랑카우 딸기 8봉 158g,2022-04-26,N,800.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124787,말랑카우 딸기 8봉 158g,2022-04-27,D,1636.36
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124787,말랑카우 딸기 8봉 158g,2022-04-27,N,1093.64
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124787,말랑카우 딸기 8봉 158g,2022-05-02,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124787,말랑카우 딸기 8봉 158g,2022-05-02,N,938.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5125825,중국 청도법인 말랑카우 딸기 63g,2022-05-02,D,34.45
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5125825,중국 청도법인 말랑카우 딸기 63g,2022-05-02,N,582.55
