dmd_id,item_cd,res_grp_cd,res_cd,kind,start,end
FP_0000016,5101402,2113,10016206,demand,2022-05-11 07:00:00,2022-05-11 08:39:10
FP_0000016,5101402,2113,10016206,demand,2022-05-10 13:25:50,2022-05-11 00:00:00
FP_0000017,5101403,2113,10016206,demand,2022-05-05 15:26:40,2022-05-05 23:04:10
FP_0000020,5101407,2113,10016206,demand,2022-04-26 07:00:00,2022-04-26 08:03:20
FP_0000020,5101407,2113,10016206,demand,2022-04-25 18:06:40,2022-04-26 00:00:00
FP_0000043,5106433,2104,10001142,demand,2022-04-26 10:25:00,2022-04-26 10:48:34
FP_0000198,5125187,2104,10001142,demand,2022-04-26 07:00:00,2022-04-26 10:25:00
FP_0000198,5125187,2104,10001142,demand,2022-04-25 07:00:00,2022-04-26 00:00:00
FP_0000199,5125187,2104,10005902,demand,2022-04-25 07:00:00,2022-04-25 13:07:30
FP_0000200,5125409,X120,X120,demand,2022-04-25 07:00:00,2022-04-25 16:45:00
FP_0000201,5125410,X120,X120,demand,2022-04-26 07:00:00,2022-04-27 00:00:00
FP_0000201,5125410,X120,X120,demand,2022-04-27 07:00:00,2022-04-27 11:15:22
FP_0000201,5125410,X120,X120,demand,2022-04-25 16:45:00,2022-04-26 00:00:00
FP_0000202,5125410,X120,X120,demand,2022-05-05 07:00:00,2022-05-05 18:58:12
FP_0000202,5125410,X120,X120,demand,2022-05-03 07:00:00,2022-05-04 00:00:00
FP_0000202,5125410,X120,X120,demand,2022-05-02 14:32:48,2022-05-03 00:00:00
FP_0000202,5125410,X120,X120,demand,2022-05-04 07:00:00,2022-05-05 00:00:00
FP_0000203,5125410,X120,X120,demand,2022-05-11 07:00:00,2022-05-11 14:15:39
FP_0000203,5125410,X120,X120,demand,2022-05-10 16:12:09,2022-05-11 00:00:00
FP_0000204,5125432,X120,X120,demand,2022-05-02 07:00:00,2022-05-02 07:13:55
FP_0000204,5125432,X120,X120,demand,2022-04-29 07:00:00,2022-04-30 00:00:00
FP_0000204,5125432,X120,X120,demand,2022-04-28 07:00:00,2022-04-29 00:00:00
FP_0000204,5125432,X120,X120,demand,2022-04-27 14:18:25,2022-04-28 00:00:00
FP_0000205,5125432,X120,X120,demand,2022-05-09 07:00:00,2022-05-09 14:45:39
FP_0000205,5125432,X120,X120,demand,2022-05-06 10:32:21,2022-05-07 00:00:00
FP_0000206,5125432,X120,X120,demand,2022-05-10 07:00:00,2022-05-10 16:12:09
FP_0000206,5125432,X120,X120,demand,2022-05-09 16:41:39,2022-05-10 00:00:00
FP_0000229,5126468,2103,10001108,demand,2022-04-26 07:00:00,2022-04-27 00:00:00
FP_0000229,5126468,2103,10001108,demand,2022-04-27 07:00:00,2022-04-27 09:40:00
FP_0000229,5126468,2103,10001108,demand,2022-04-25 07:00:00,2022-04-26 00:00:00
FP_0000258,5127889,2113,10016206,demand,2022-05-11 08:39:10,2022-05-11 11:31:20
FP_0000277,5128885,2113,10016206,demand,2022-04-27 17:26:40,2022-04-28 00:00:00
FP_0000277,5128885,2113,10016206,demand,2022-04-28 07:00:00,2022-04-29 00:00:00
FP_0000277,5128885,2113,10016206,demand,2022-04-29 07:00:00,2022-04-29 11:13:20
FP_0000329,5130141,X219,X219,demand,2022-04-25 07:00:00,2022-04-25 15:00:00
FP_0000329,5130141,X219,X219,demand,2022-04-26 07:00:00,2022-04-26 15:00:00
FP_0000329,5130141,X219,X219,demand,2022-04-27 07:00:00,2022-04-27 15:00:00
FP_0000329,5130141,X219,X219,demand,2022-04-28 07:00:00,2022-04-28 15:00:00
FP_0000329,5130141,X219,X219,demand,2022-04-29 07:00:00,2022-04-29 10:53:20
FP_0000330,5130141,X219,X219,demand,2022-05-02 07:00:00,2022-05-02 15:00:00
FP_0000330,5130141,X219,X219,demand,2022-05-03 07:00:00,2022-05-03 15:00:00
