project_cd,if_vrsn_id,plant_cd,res_cd,res_nm,res_seq,res_type_cd,res_ctgi_cd,res_grp_cd,res_capa_val,over_capa_val,capa_unit_cd,start_yymmdd,end_yymmdd,descr,inf_capa_yn,use_yn,del_yn
ENT_001,-,K120,10003977_M003,10003977_M003,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003977_M004,10003977_M004,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003977_M005,10003977_M005,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003977_M006,10003977_M006,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003977_M007,10003977_M007,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003977_M008,10003977_M008,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003977_M009,10003977_M009,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003977_M010,10003977_M010,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003978_F001,10003978_F001,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003978_F002,10003978_F002,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003978_F003,10003978_F003,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003978_F004,10003978_F004,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003978_F005,10003978_F005,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003978_F006,10003978_F006,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003978_F007,10003978_F007,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003978_F008,10003978_F008,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003978_F009,10003978_F009,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003978_F010,10003978_F010,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003978_M001,10003978_M001,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003978_M002,10003978_M002,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003978_M003,10003978_M003,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003978_M004,10003978_M004,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003978_M005,10003978_M005,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003978_M006,10003978_M006,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003978_M007,10003978_M007,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003978_M008,10003978_M008,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003978_M009,10003978_M009,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003978_M010,10003978_M010,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003980_F001,10003980_F001,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003980_F002,10003980_F002,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003980_F003,10003980_F003,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003980_F004,10003980_F004,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003980_F005,10003980_F005,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003980_F006,10003980_F006,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003980_F007,10003980_F007,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003980_F008,10003980_F008,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003980_F009,10003980_F009,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003980_F010,10003980_F010,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
