RES_GRP_CD,ITEM_ATTR03_CD
3101,P107001
3102,P107003
3104,P107001
3105,P102033
3107,P107072
3108,P107001
3202,P103041
3203,P103055
3204,P106005
3205,P103054
X217,P103054
X218,P107001
X247,P103054
X247,P103055
X247,P106005
X247,P107001
X247,P107003
X247,P107072
X267,P103055
X267,P107001
