PLANT_CD,RES_GRP_CD,ITEM_ATTR04_CD,PKG,FLOOR,M_VAL,W_VAL
K130,3101,P107001001,00011,A,7,3
K130,3101,P107001001,00132,A,4,3
K130,3101,P107001002,00011,A,4,3
K130,3101,P107001002,00132,A,4,3
K130,3101,P107001005,00011,A,4,3
K130,3101,P107001005,00132,A,4,3
K130,3101,P107001012,00011,A,4,3
K130,3101,P107001012,00132,A,4,3
