dmd_id,item_cd,res_grp,resource,start,end
FP_134,5142931,X267,UNDEFINED,2022-04-18 07:01:40,2022-04-18 07:03:20
FP_28,5142932,X267,UNDEFINED,2022-04-18 07:00:00,2022-04-18 07:01:40
FP_39,5141600,X267,UNDEFINED,2022-04-18 07:03:43,2022-04-18 07:05:23
p[FP_134,5142931,X267,5142932,2022-04-18 07:01:40,2022-04-18 07:01:40
p[FP_28,5142932,X267,start|FP_28,2022-04-18 07:00:00,2022-04-18 07:00:00
p[FP_39,5141600,X267,5142931,2022-04-18 07:03:20,2022-04-18 07:03:43
