dmd_id,item_cd,res_grp_cd,res_cd,kind,start,end
FP_0000007,5101343,2114,10002700,demand,2022-05-02 03:10:00,2022-05-05 20:03:20
FP_0000112,5124710,2113,10016206,demand,2022-05-04 15:25:00,2022-05-05 10:51:40
FP_0000114,5124710,2113,10016206,demand,2022-05-16 00:55:00,2022-05-16 13:45:00
FP_0000114,5124710,2113,10016206,demand,2022-05-13 12:43:20,2022-05-13 19:20:00
FP_0000135,5125187,2104,10005902,demand,2022-05-02 03:00:00,2022-05-03 03:24:10
FP_0000136,5125187,2104,10001142,demand,2022-05-02 03:24:30,2022-05-02 12:38:40
FP_0000136_FP_0000374,5142258,2104,10005902,job_change,2022-05-03 03:24:10,2022-05-04 03:24:10
FP_0000136_FP_0000374,5142258,2104,10001142,job_change,2022-05-03 03:24:10,2022-05-04 03:24:10
FP_0000137,5125409,X120,X120,demand,2022-05-05 17:11:10,2022-05-06 00:46:10
FP_0000138,5125410,X120,X120,demand,2022-05-02 03:00:00,2022-05-03 00:09:40
FP_0000139,5125410,X120,X120,demand,2022-05-04 07:36:10,2022-05-05 17:11:10
FP_0000140,5125432,X120,X120,demand,2022-05-03 00:09:40,2022-05-04 07:36:10
FP_0000141,5125432,X120,X120,demand,2022-05-06 03:06:10,2022-05-06 21:00:00
FP_0000141,5125432,X120,X120,demand,2022-05-09 03:00:00,2022-05-10 01:49:10
FP_0000176,5129181,2111,10002811,demand,2022-05-02 03:14:10,2022-05-02 13:39:10
FP_0000177,5129181,2111,10002811,demand,2022-05-02 13:39:10,2022-05-03 10:29:10
FP_0000197,5129955,2111,10002808,demand,2022-05-02 05:11:40,2022-05-02 15:36:40
FP_0000198,5129955,2111,10002808,demand,2022-05-02 15:36:40,2022-05-06 02:56:40
FP_0000210,5130141,X219,X219,demand,2022-05-02 16:00:00,2022-05-04 04:56:40
FP_0000211,5130141,X219,X219,demand,2022-05-04 04:56:40,2022-05-05 17:53:20
FP_0000256,5140989,2103,10001108,demand,2022-05-02 04:50:00,2022-05-02 10:23:20
FP_0000257,5140989,2103,10001108,demand,2022-05-03 18:20:00,2022-05-03 23:53:20
FP_0000270,5141085,2113,10016206,demand,2022-05-02 12:01:40,2022-05-04 15:25:00
FP_0000272,5141085,2113,10016206,demand,2022-05-09 07:20:00,2022-05-11 10:43:20
FP_0000273,5141087,2113,10016206,demand,2022-05-05 10:51:40,2022-05-06 19:20:00
FP_0000273,5141087,2113,10016206,demand,2022-05-09 00:55:00,2022-05-09 07:20:00
FP_0000274,5141087,2113,10016206,demand,2022-05-11 21:50:00,2022-05-13 12:43:20
FP_0000275,5141087,2113,10016206,demand,2022-05-16 13:45:00,2022-05-18 14:41:40
FP_0000309,5141684,2109,10005544,demand,2022-05-02 03:40:00,2022-05-03 07:26:40
FP_0000310,5141684,2110,10005762,demand,2022-05-02 04:32:30,2022-05-03 09:25:50
FP_0000312,5141684,2109,10005544,demand,2022-05-09 03:40:00,2022-05-10 23:56:40
FP_0000312,5141684,2109,10005544,demand,2022-05-06 16:00:00,2022-05-06 20:20:00
FP_0000313,5141684,2110,10005762,demand,2022-05-03 09:25:50,2022-05-05 11:59:10
