dmd_id,item_cd,res_grp_cd,res_cd,kind,start,end
FP_0000008,5101362,4115,10011463,demand,2022-05-04 19:14:00,2022-05-05 16:08:00
FP_0000009,5101362,4114,10011462,demand,2022-05-02 02:20:00,2022-05-02 23:14:00
FP_0000010,5101362,4113,10011461,demand,2022-05-06 05:09:00,2022-05-06 22:00:00
FP_0000010,5101362,4113,10011461,demand,2022-05-09 02:20:00,2022-05-09 06:23:00
FP_0000040,5107469,4101,10001693,demand,2022-05-09 10:39:10,2022-05-09 11:37:30
FP_0000041,5107504,4101,10001693,demand,2022-05-02 20:50:00,2022-05-02 21:28:20
FP_0000041_FP_0000462,5142709,4101,10001693,job_change,2022-05-02 21:28:20,2022-05-03 05:28:20
FP_0000054,5108224,4114,10011462,demand,2022-05-12 08:34:20,2022-05-12 09:40:50
FP_0000055,5108224,4113,10011461,demand,2022-05-12 09:52:40,2022-05-12 10:59:10
FP_0000058,5108699,4106,10001944,demand,2022-05-09 10:06:40,2022-05-09 18:33:20
FP_0000127,5125163,4114,10011462,demand,2022-05-12 09:40:50,2022-05-12 15:57:40
FP_0000128,5125163,4115,10011463,demand,2022-05-11 23:17:00,2022-05-12 05:33:50
FP_0000129,5125163,4113,10011461,demand,2022-05-09 06:23:00,2022-05-09 12:39:50
FP_0000130,5125163,4114,10011462,demand,2022-05-17 21:37:40,2022-05-18 07:23:30
FP_0000131,5125163,4115,10011463,demand,2022-05-17 11:13:50,2022-05-17 20:59:40
FP_0000132,5125163,4113,10011461,demand,2022-05-17 22:45:50,2022-05-18 08:31:40
FP_0000133,5125164,4113,10018718,demand,2022-05-02 18:10:00,2022-05-04 11:51:40
FP_0000134,5125164,4113,10018718,demand,2022-05-02 02:20:00,2022-05-02 18:10:00
FP_0000142,5125545,4114,10011462,demand,2022-05-09 10:03:00,2022-05-09 16:17:00
FP_0000144,5125759,4113,10011461,demand,2022-05-11 23:02:40,2022-05-12 02:12:40
FP_0000144_FP_0000333,5141807,4113,10011461,job_change,2022-05-12 02:12:40,2022-05-12 06:12:40
FP_0000145,5125759,4115,10011463,demand,2022-05-02 02:20:00,2022-05-02 05:30:00
FP_0000146,5125759,4114,10011462,demand,2022-05-11 23:17:00,2022-05-12 02:57:00
FP_0000148,5126045,4114,10011462,demand,2022-05-09 06:23:00,2022-05-09 10:03:00
FP_0000149,5126045,4113,10011461,demand,2022-05-09 14:37:10,2022-05-09 17:47:10
FP_0000154,5127122,4115,10011463,demand,2022-05-02 23:50:00,2022-05-04 07:30:00
FP_0000155,5127122,4113,10011461,demand,2022-05-10 15:22:40,2022-05-11 23:02:40
FP_0000156,5127122,4114,10011462,demand,2022-05-09 16:17:00,2022-05-11 04:57:00
FP_0000175,5129047,4101,10001693,demand,2022-05-02 20:40:00,2022-05-02 20:50:00
FP_0000191,5129954,4115,10011463,demand,2022-05-09 02:20:00,2022-05-11 23:17:00
FP_0000191,5129954,4115,10011463,demand,2022-05-05 16:08:00,2022-05-06 22:00:00
FP_0000192,5129954,4114,10011462,demand,2022-05-09 02:20:00,2022-05-09 06:23:00
FP_0000192,5129954,4114,10011462,demand,2022-05-02 23:14:00,2022-05-06 22:00:00
FP_0000193,5129954,4113,10011461,demand,2022-05-02 02:20:00,2022-05-06 05:09:00
FP_0000194,5129954,4113,10011461,demand,2022-05-16 02:20:00,2022-05-17 16:39:10
FP_0000194,5129954,4113,10011461,demand,2022-05-12 10:59:10,2022-05-13 22:00:00
FP_0000195,5129954,4114,10011462,demand,2022-05-12 15:57:40,2022-05-13 22:00:00
FP_0000195,5129954,4114,10011462,demand,2022-05-16 02:20:00,2022-05-17 21:37:40
FP_0000196,5129954,4115,10011463,demand,2022-05-16 02:20:00,2022-05-17 11:13:50
FP_0000196,5129954,4115,10011463,demand,2022-05-12 05:33:50,2022-05-13 22:00:00
FP_0000207,5130058,4107,10001987,demand,2022-05-02 02:20:00,2022-05-02 02:37:30
FP_0000208,5130058,4107,10001987,demand,2022-05-02 02:37:30,2022-05-02 03:37:30
FP_0000209,5130058,4107,10001987,demand,2022-05-02 03:37:30,2022-05-02 04:05:00
FP_0000219,5139985,4105,10001899,demand,2022-05-02 02:20:00,2022-05-02 18:10:00
FP_0000221,5139985,4105,10001899,demand,2022-05-05 22:33:20,2022-05-06 14:23:20
FP_0000246,5140871,4101,10001697,demand,2022-05-02 02:20:00,2022-05-02 05:23:20
FP_0000247,5140871,4101,10001697,demand,2022-05-03 15:12:40,2022-05-03 18:16:00
FP_0000248,5140872,4101,10001693,demand,2022-05-03 05:50:20,2022-05-03 17:07:00
FP_0000249,5140872,4101,10001693,demand,2022-05-04 07:52:00,2022-05-04 19:08:40
FP_0000249_FP_0000518,5142914,4101,10001693,job_change,2022-05-04 19:08:40,2022-05-04 23:08:40
FP_0000260,5141015,4102,10001798,demand,2022-05-02 02:20:00,2022-05-02 04:32:00
FP_0000261,5141015,4102,10001798,demand,2022-05-02 13:40:00,2022-05-02 15:24:00
FP_0000263,5141073,4107,10001979,demand,2022-05-02 04:42:30,2022-05-05 02:09:10
FP_0000264,5141073,4105,10001899,demand,2022-05-02 18:10:00,2022-05-05 22:33:20
FP_0000265,5141073,4105,10001899,demand,2022-05-09 03:28:20,2022-05-12 07:51:40
FP_0000266,5141073,4107,10001979,demand,2022-05-05 02:09:10,2022-05-06 22:00:00
FP_0000266,5141073,4107,10001979,demand,2022-05-09 02:20:00,2022-05-10 03:55:50
FP_0000267,5141073,4105,10001899,demand,2022-05-13 09:56:40,2022-05-13 22:00:00
FP_0000267,5141073,4105,10001899,demand,2022-05-16 02:20:00,2022-05-16 06:54:00
FP_0000268,5141073,4107,10001979,demand,2022-05-10 03:55:50,2022-05-10 19:02:30
FP_0000278,5141164,4111,10004569,demand,2022-05-02 02:20:00,2022-05-02 09:55:00
FP_0000279,5141164,4111,10004569,demand,2022-05-02 09:55:00,2022-05-02 12:27:30
FP_0000284,5141244,4115,10011463,demand,2022-05-04 07:30:00,2022-05-04 09:27:20
FP_0000285,5141244,4113,10011461,demand,2022-05-09 12:39:50,2022-05-09 14:37:10
FP_0000286,5141244,4114,10011462,demand,2022-05-12 02:57:00,2022-05-12 04:54:20
FP_0000287,5141244,4113,10011461,demand,2022-05-17 16:39:10,2022-05-17 22:45:50
FP_0000288,5141244,4115,10011463,demand,2022-05-04 13:07:20,2022-05-04 19:14:00
FP_0000289,5141244,4114,10011462,demand,2022-05-18 07:23:30,2022-05-18 13:30:10
FP_0000290,5141281,4114,10011462,demand,2022-05-11 04:57:00,2022-05-11 23:17:00
FP_0000291,5141281,4113,10011461,demand,2022-05-09 21:02:40,2022-05-10 15:22:40
FP_0000292,5141281,4115,10011463,demand,2022-05-02 05:30:00,2022-05-02 23:50:00
FP_0000296,5141417,4102,10001797,demand,2022-05-02 13:03:20,2022-05-02 18:36:40
FP_0000332,5141807,4115,10011463,demand,2022-05-04 09:27:20,2022-05-04 13:07:20
FP_0000333,5141807,4113,10011461,demand,2022-05-12 06:12:40,2022-05-12 09:52:40
FP_0000334,5141807,4114,10011462,demand,2022-05-12 04:54:20,2022-05-12 08:34:20
FP_0000413,5142595,4101,10001697,demand,2022-05-04 07:05:50,2022-05-04 16:15:50
FP_0000413_FP_0000521,5142915,4101,10001697,job_change,2022-05-04 16:15:50,2022-05-04 20:15:50
FP_0000414,5142595,4101,10001697,demand,2022-05-03 06:02:40,2022-05-03 15:12:40
FP_0000419,5142652,4105,10001899,demand,2022-05-09 02:20:00,2022-05-09 03:28:20
FP_0000419,5142652,4105,10001899,demand,2022-05-06 14:23:20,2022-05-06 22:00:00
FP_0000420,5142652,4105,10001899,demand,2022-05-12 07:51:40,2022-05-13 09:56:40
FP_0000460,5142709,4101,10001693,demand,2022-05-02 02:20:00,2022-05-02 20:40:00
FP_0000461,5142709,4101,10001693,demand,2022-05-05 16:47:40,2022-05-06 11:07:40
FP_0000462,5142709,4101,10001693,demand,2022-05-03 05:28:20,2022-05-03 05:50:20
FP_0000463,5142709,4101,10001693,demand,2022-05-06 11:07:40,2022-05-06 11:29:40
FP_0000467,5142766,4107,10001990,demand,2022-05-02 02:20:00,2022-05-02 14:33:20
FP_0000468,5142766,4107,10001990,demand,2022-05-02 14:33:20,2022-05-02 23:56:00
FP_0000479,5142830,4101,10001693,demand,2022-05-03 17:07:00,2022-05-04 07:52:00
FP_0000480,5142830,4101,10001693,demand,2022-05-06 11:29:40,2022-05-06 22:00:00
FP_0000480,5142830,4101,10001693,demand,2022-05-09 02:20:00,2022-05-09 06:34:40
FP_0000480_FP_0000492,5142862,4101,10001693,job_change,2022-05-09 06:34:40,2022-05-09 10:34:40
FP_0000488,5142861,4101,10001697,demand,2022-05-03 18:16:00,2022-05-04 00:22:40
FP_0000488_FP_0000493,5142863,4101,10001697,job_change,2022-05-04 00:22:40,2022-05-04 04:22:40
FP_0000489,5142861,4101,10001697,demand,2022-05-02 23:56:00,2022-05-03 06:02:40
FP_0000490,5142861,4101,10001697,demand,2022-05-02 05:23:20,2022-05-02 18:57:20
FP_0000490_FP_0000520,5142915,4101,10001697,job_change,2022-05-02 18:57:20,2022-05-02 22:57:20
FP_0000491,5142862,4101,10001693,demand,2022-05-04 23:59:40,2022-05-05 04:11:40
FP_0000491_FP_0000519,5142914,4101,10001693,job_change,2022-05-05 04:11:40,2022-05-05 08:11:40
FP_0000492,5142862,4101,10001693,demand,2022-05-09 10:34:40,2022-05-09 10:39:10
FP_0000493,5142863,4101,10001697,demand,2022-05-04 04:22:40,2022-05-04 07:05:50
FP_0000502,5142868,4102,10001797,demand,2022-05-02 02:20:00,2022-05-02 13:03:20
FP_0000503,5142868,4102,10001797,demand,2022-05-02 18:36:40,2022-05-03 00:50:00
FP_0000504,5142869,4102,10001798,demand,2022-05-02 04:32:00,2022-05-02 13:40:00
FP_0000511,5142896,4107,10001979,demand,2022-05-02 02:20:00,2022-05-02 04:42:30
FP_0000512,5142896,4107,10001979,demand,2022-05-10 19:02:30,2022-05-10 23:47:30
FP_0000518,5142914,4101,10001693,demand,2022-05-04 23:08:40,2022-05-04 23:59:40
FP_0000519,5142914,4101,10001693,demand,2022-05-05 08:11:40,2022-05-05 08:47:40
FP_0000519_FP_0000461,5142709,4101,10001693,job_change,2022-05-05 08:47:40,2022-05-05 16:47:40
FP_0000520,5142915,4101,10001697,demand,2022-05-02 22:57:20,2022-05-02 23:56:00
FP_0000521,5142915,4101,10001697,demand,2022-05-04 20:15:50,2022-05-04 20:30:30
FP_0000563,5142996,4106,10001944,demand,2022-05-02 02:20:00,2022-05-05 04:40:00
FP_0000564,5142996,4106,10001944,demand,2022-05-09 05:26:40,2022-05-09 10:06:40
FP_0000568,5143053,4113,10011461,demand,2022-05-09 17:47:10,2022-05-09 21:02:40
FP_0000575,5143155,4106,10001951,demand,2022-05-02 02:20:00,2022-05-05 05:53:20
FP_0000576,5143155,4106,10001951,demand,2022-05-05 05:53:20,2022-05-06 22:00:00
FP_0000576,5143155,4106,10001951,demand,2022-05-09 02:20:00,2022-05-10 13:46:40
FP_0000577,5143156,4106,10001944,demand,2022-05-09 18:33:20,2022-05-09 19:34:40
FP_0000578,5143157,4106,10001944,demand,2022-05-05 04:40:00,2022-05-06 02:53:20
FP_0000579,5143157,4106,10001944,demand,2022-05-06 02:53:20,2022-05-06 22:00:00
FP_0000579,5143157,4106,10001944,demand,2022-05-09 02:20:00,2022-05-09 05:26:40
FP_0000580,5143157,4106,10001944,demand,2022-05-09 19:34:40,2022-05-12 16:44:00
