dmd_id,item_cd,res_grp_cd,res_cd,kind,start,end
FP_0000339,5141810,X104,X104,demand,2022-05-03 20:00:00,2022-05-04 06:00:00
FP_0000354,5142026,1324,10002266,demand,2022-05-09 23:56:40,2022-05-10 02:02:40
FP_0000355,5142026,1324,10002266,demand,2022-05-10 17:05:40,2022-05-10 18:28:10
FP_0000356,5142056,X175,X175,demand,2022-05-03 00:48:00,2022-05-04 00:49:40
FP_0000377,5142289,X104,X104,demand,2022-05-02 14:00:00,2022-05-03 20:00:00
FP_0000391,5142490,X101,X101,demand,2022-05-05 15:20:00,2022-05-05 23:40:00
FP_0000392,5142490,X101,X101,demand,2022-05-11 14:20:00,2022-05-11 22:40:00
FP_0000397,5142539,1108,10007537,demand,2022-05-05 02:12:00,2022-05-05 07:22:30
FP_0000398,5142539,1108,10007537,demand,2022-05-05 07:22:30,2022-05-05 09:37:30
FP_0000455,5142699,X101,X101,demand,2022-05-05 23:40:00,2022-05-06 05:40:00
FP_0000456,5142699,X101,X101,demand,2022-05-10 08:20:00,2022-05-10 14:20:00
FP_0000471,5142795,X143,X143,demand,2022-05-02 16:00:00,2022-05-03 08:00:00
FP_0000472,5142795,X143,X143,demand,2022-05-03 08:00:00,2022-05-04 00:00:00
FP_0000559,5142987,1324,10002270,demand,2022-05-02 03:30:00,2022-05-02 09:57:30
FP_0000567,5143007,1108,10000063,demand,2022-05-04 06:56:00,2022-05-04 13:03:30
