dmd_id,item_cd,res_grp_cd,res_cd,kind,start,end
FP_0000003,5100334,3205,10006268,demand,2022-05-02 18:01:40,2022-05-03 01:48:20
FP_0000004,5100334,3205,10006268,demand,2022-05-03 22:06:20,2022-05-04 05:53:00
FP_0000005,5101300,3205,10006268,demand,2022-05-03 01:48:20,2022-05-03 04:59:40
FP_0000005_FP_0000228,5140082,3205,10006268,job_change,2022-05-03 04:59:40,2022-05-03 08:29:40
FP_0000006,5101327,3203,10001360,demand,2022-05-03 01:55:00,2022-05-03 01:58:00
FP_0000039,5107372,3204,10004538,demand,2022-05-04 14:57:50,2022-05-04 16:20:40
FP_0000046,5107671,3203,10001360,demand,2022-05-02 00:55:00,2022-05-03 01:55:00
FP_0000047,5107671,3203,10001360,demand,2022-05-03 01:58:00,2022-05-04 02:58:00
FP_0000052,5108185,3107,10006506,demand,2022-05-06 00:56:40,2022-05-06 04:16:40
FP_0000057,5108373,X247,X247,demand,2022-05-03 04:28:20,2022-05-04 01:51:40
FP_0000091,5109796,3207,10002912,demand,2022-05-02 19:45:00,2022-05-03 11:18:20
FP_0000100,5124376,3207,10002912,demand,2022-05-10 07:57:00,2022-05-10 15:31:00
FP_0000101,5124376,3207,10002912,demand,2022-05-11 15:16:40,2022-05-11 19:30:40
FP_0000103,5124414,3105,10000798,demand,2022-05-03 18:16:00,2022-05-03 21:19:20
FP_0000115,5124786,3105,10000798,demand,2022-05-02 22:21:50,2022-05-03 14:37:10
FP_0000115_FP_0000183,5129868,3105,10000798,job_change,2022-05-03 14:37:10,2022-05-03 15:07:10
FP_0000116,5124787,3105,10000798,demand,2022-05-02 13:06:50,2022-05-02 18:42:20
FP_0000116_FP_0000364,5142182,3105,10000798,job_change,2022-05-02 18:42:20,2022-05-02 19:12:20
FP_0000117,5124830,3202,10001463,demand,2022-05-02 05:20:00,2022-05-02 21:46:40
FP_0000118,5124851,3202,10001469,demand,2022-05-02 05:20:00,2022-05-03 22:27:30
FP_0000119,5124851,3202,10001469,demand,2022-05-03 22:27:30,2022-05-04 09:11:30
FP_0000143,5125755,3207,10002912,demand,2022-05-04 09:47:00,2022-05-04 12:07:00
FP_0000147,5125825,3105,10000798,demand,2022-05-03 21:19:20,2022-05-04 00:22:40
FP_0000147_FP_0000566,5143001,3105,10000798,job_change,2022-05-04 00:22:40,2022-05-04 00:52:40
FP_0000160,5127761,3204,10004538,demand,2022-05-03 05:41:40,2022-05-03 06:22:30
FP_0000163,5128589,3204,10004538,demand,2022-05-02 00:55:00,2022-05-02 02:28:20
FP_0000164,5128589,3204,10004538,demand,2022-05-02 09:51:40,2022-05-02 11:25:00
FP_0000165,5128601,3204,10001542,demand,2022-05-02 00:55:00,2022-05-02 05:23:20
FP_0000166,5128601,3204,10001542,demand,2022-05-10 08:46:50,2022-05-10 13:15:10
FP_0000181,5129679,3207,10002912,demand,2022-05-05 01:43:40,2022-05-05 07:57:00
FP_0000182,5129867,3105,10000798,demand,2022-05-02 08:00:00,2022-05-02 08:42:10
FP_0000183,5129868,3105,10000798,demand,2022-05-03 15:07:10,2022-05-03 18:16:00
FP_0000199,5129958,3207,10002912,demand,2022-05-03 11:18:20,2022-05-04 09:47:00
FP_0000200,5129958,3207,10002912,demand,2022-05-05 07:57:00,2022-05-06 20:40:00
FP_0000200,5129958,3207,10002912,demand,2022-05-09 03:20:00,2022-05-10 07:57:00
FP_0000201,5129958,3207,10002912,demand,2022-05-10 15:31:00,2022-05-11 15:16:40
FP_0000203,5130032,3107,10006506,demand,2022-05-04 11:16:40,2022-05-05 20:36:40
FP_0000204,5130033,3107,10006506,demand,2022-05-05 20:36:40,2022-05-06 00:56:40
FP_0000217,5139979,3204,10004538,demand,2022-05-03 06:22:30,2022-05-04 10:37:40
FP_0000222,5140022,3204,10004538,demand,2022-05-02 11:25:00,2022-05-03 03:41:30
FP_0000223,5140025,3204,10001542,demand,2022-05-10 13:15:10,2022-05-10 17:21:20
FP_0000224,5140025,3204,10001542,demand,2022-05-10 19:08:40,2022-05-10 21:05:20
FP_0000225,5140026,3204,10001542,demand,2022-05-03 23:11:40,2022-05-04 08:55:00
FP_0000226,5140026,3204,10001542,demand,2022-05-05 02:40:10,2022-05-05 12:23:30
FP_0000227,5140082,3205,10006268,demand,2022-05-02 14:08:20,2022-05-02 18:01:40
FP_0000228,5140082,3205,10006268,demand,2022-05-03 08:29:40,2022-05-03 12:23:00
FP_0000233,5140312,X247,X247,demand,2022-05-02 15:00:00,2022-05-02 19:26:40
FP_0000234,5140312,X247,X247,demand,2022-05-04 08:31:40,2022-05-04 12:58:20
FP_0000236,5140532,3204,10004538,demand,2022-05-03 04:20:00,2022-05-03 04:24:40
FP_0000238,5140686,3105,10000798,demand,2022-05-02 08:42:10,2022-05-02 10:45:00
FP_0000238_FP_0000293,5141313,3105,10000798,job_change,2022-05-02 10:45:00,2022-05-02 11:15:00
FP_0000240,5140770,3107,10006506,demand,2022-05-02 07:00:00,2022-05-04 01:13:20
FP_0000242,5140801,3107,10006506,demand,2022-05-04 01:13:20,2022-05-04 06:46:40
FP_0000242_FP_0000203,5130032,3107,10006506,job_change,2022-05-04 06:46:40,2022-05-04 11:16:40
FP_0000243,5140803,3102,10006437,demand,2022-05-03 07:00:50,2022-05-04 00:25:30
FP_0000244,5140806,3102,10006437,demand,2022-05-04 00:25:30,2022-05-04 18:38:50
FP_0000245,5140808,3102,10006437,demand,2022-05-02 07:00:00,2022-05-02 16:30:50
FP_0000250,5140892,3207,10002912,demand,2022-05-05 00:33:40,2022-05-05 01:43:40
FP_0000251,5140895,3204,10001542,demand,2022-05-04 08:55:00,2022-05-05 02:25:00
FP_0000252,5140895,3204,10001542,demand,2022-05-09 11:46:50,2022-05-10 05:16:50
FP_0000252_FP_0000166,5128601,3204,10001542,job_change,2022-05-10 05:16:50,2022-05-10 08:46:50
FP_0000253,5140895,3204,10001542,demand,2022-05-10 17:21:20,2022-05-10 19:08:40
FP_0000254,5140896,3204,10001542,demand,2022-05-02 05:23:20,2022-05-03 23:11:40
FP_0000255,5140896,3204,10001542,demand,2022-05-05 12:23:30,2022-05-06 19:20:00
FP_0000255,5140896,3204,10001542,demand,2022-05-09 00:55:00,2022-05-09 11:46:50
FP_0000262,5141062,3207,10002912,demand,2022-05-02 03:20:00,2022-05-02 17:25:00
FP_0000280,5141183,X247,X247,demand,2022-05-02 19:26:40,2022-05-03 04:28:20
FP_0000283,5141241,3207,10002912,demand,2022-05-04 12:07:00,2022-05-05 00:33:40
FP_0000293,5141313,3105,10000798,demand,2022-05-02 11:15:00,2022-05-02 13:06:50
FP_0000299,5141447,3204,10004538,demand,2022-05-04 10:37:40,2022-05-04 11:27:50
FP_0000299_FP_0000039,5107372,3204,10004538,job_change,2022-05-04 11:27:50,2022-05-04 14:57:50
FP_0000363,5142178,3204,10004538,demand,2022-05-03 04:24:40,2022-05-03 05:41:40
FP_0000364,5142182,3105,10000798,demand,2022-05-02 19:12:20,2022-05-02 19:49:00
FP_0000364_FP_0000565,5143001,3105,10000798,job_change,2022-05-02 19:49:00,2022-05-02 20:19:00
FP_0000369,5142203,3207,10002912,demand,2022-05-02 17:25:00,2022-05-02 19:45:00
FP_0000371,5142248,3204,10004538,demand,2022-05-02 04:25:00,2022-05-02 06:21:40
FP_0000371_FP_0000164,5128589,3204,10004538,job_change,2022-05-02 06:21:40,2022-05-02 09:51:40
FP_0000372,5142249,3204,10004538,demand,2022-05-02 02:28:20,2022-05-02 04:25:00
FP_0000402,5142584,3204,10004538,demand,2022-05-03 03:41:30,2022-05-03 04:20:00
FP_0000405,5142590,3204,10001542,demand,2022-05-05 02:25:00,2022-05-05 02:40:10
FP_0000421,5142653,3205,10006268,demand,2022-05-02 00:55:00,2022-05-02 10:38:20
FP_0000421_FP_0000227,5140082,3205,10006268,job_change,2022-05-02 10:38:20,2022-05-02 14:08:20
FP_0000422,5142653,3205,10006268,demand,2022-05-03 12:23:00,2022-05-03 22:06:20
FP_0000423,5142653,3205,10006268,demand,2022-05-04 05:53:00,2022-05-05 22:19:40
FP_0000477,5142815,3102,10006437,demand,2022-05-02 16:30:50,2022-05-02 23:10:50
FP_0000477_FP_0000478,5142816,3102,10006437,job_change,2022-05-02 23:10:50,2022-05-03 03:40:50
FP_0000478,5142816,3102,10006437,demand,2022-05-03 03:40:50,2022-05-03 07:00:50
FP_0000516,5142900,3105,10000798,demand,2022-05-02 21:03:00,2022-05-02 22:21:50
FP_0000517,5142900,3105,10000798,demand,2022-05-04 01:07:20,2022-05-04 01:23:50
FP_0000523,5142931,X247,X247,demand,2022-05-04 01:51:40,2022-05-04 08:31:40
FP_0000524,5142931,X267,X267,demand,2022-05-03 04:20:00,2022-05-04 00:20:00
FP_0000525,5142932,X267,X267,demand,2022-05-02 15:00:00,2022-05-03 04:20:00
FP_0000526,5142932,X267,X267,demand,2022-05-04 00:20:00,2022-05-04 11:26:40
FP_0000528,5142933,3108,10006509,demand,2022-05-02 23:59:10,2022-05-03 08:19:10
FP_0000529,5142933,3101,10003108,demand,2022-05-02 14:20:00,2022-05-02 19:20:00
FP_0000529_FP_0000552,5142940,3101,10003108,job_change,2022-05-02 19:20:00,2022-05-02 23:20:00
FP_0000530,5142933,3108,10006509,demand,2022-05-05 00:25:50,2022-05-05 12:55:50
FP_0000531,5142933,3101,10003106,demand,2022-05-03 09:57:37,2022-05-03 17:27:37
FP_0000532,5142934,3101,10003106,demand,2022-05-02 19:20:03,2022-05-03 00:57:33
FP_0000533,5142934,3108,10006509,demand,2022-05-02 07:00:00,2022-05-02 12:37:30
FP_0000533_FP_0000543,5142938,3108,10006509,job_change,2022-05-02 12:37:30,2022-05-02 16:37:30
FP_0000534,5142934,3108,10006509,demand,2022-05-03 08:19:10,2022-05-03 18:44:10
FP_0000534_FP_0000545,5142938,3108,10006509,job_change,2022-05-03 18:44:10,2022-05-03 22:44:10
FP_0000535,5142934,3101,10003108,demand,2022-05-03 07:45:00,2022-05-03 18:10:00
FP_0000535_FP_0000541,5142937,3101,10003106,job_change,2022-05-03 00:57:33,2022-05-03 04:57:33
FP_0000536,5142935,3101,10003108,demand,2022-05-02 07:00:00,2022-05-02 14:20:00
FP_0000536_FP_0000552,5142940,3101,10003107,job_change,2022-05-02 19:20:00,2022-05-02 23:20:00
FP_0000537,5142935,3108,10006510,demand,2022-05-02 07:00:00,2022-05-02 14:20:00
FP_0000537_FP_0000551,5142940,3108,10006510,job_change,2022-05-02 14:20:00,2022-05-02 18:20:00
FP_0000538,5142935,3108,10006510,demand,2022-05-03 21:05:00,2022-05-04 03:45:00
FP_0000539,5142935,3101,10003107,demand,2022-05-05 08:20:00,2022-05-05 15:00:00
FP_0000540,5142936,3101,10003107,demand,2022-05-03 23:05:00,2022-05-04 16:30:00
FP_0000541,5142937,3101,10003108,demand,2022-05-04 04:43:20,2022-05-04 22:05:00
FP_0000542,5142937,3108,10006509,demand,2022-05-04 07:04:10,2022-05-05 00:25:50
FP_0000543,5142938,3108,10006509,demand,2022-05-02 16:37:30,2022-05-02 23:59:10
FP_0000544,5142938,3101,10003106,demand,2022-05-02 07:00:00,2022-05-02 11:25:00
FP_0000545,5142938,3108,10006509,demand,2022-05-03 22:44:10,2022-05-04 07:04:10
FP_0000546,5142938,3101,10003106,demand,2022-05-03 04:57:37,2022-05-03 09:57:37
FP_0000547,5142939,3108,10006510,demand,2022-05-03 01:50:00,2022-05-03 10:15:00
FP_0000548,5142939,3101,10003108,demand,2022-05-02 23:20:00,2022-05-03 07:45:00
FP_0000549,5142939,3108,10006510,demand,2022-05-03 15:15:00,2022-05-03 21:05:00
FP_0000550,5142939,3101,10003108,demand,2022-05-04 22:05:00,2022-05-05 03:55:00
FP_0000551,5142940,3108,10006510,demand,2022-05-02 18:20:00,2022-05-03 01:50:00
FP_0000552,5142940,3101,10003107,demand,2022-05-02 23:20:00,2022-05-03 23:05:00
FP_0000553,5142940,3108,10006510,demand,2022-05-03 10:15:00,2022-05-03 15:15:00
FP_0000554,5142940,3101,10003107,demand,2022-05-04 16:30:00,2022-05-05 08:20:00
FP_0000555,5142955,3101,10003108,demand,2022-05-05 03:55:00,2022-05-05 11:00:00
FP_0000557,5142957,3101,10003108,demand,2022-05-03 18:10:00,2022-05-04 04:43:20
FP_0000565,5143001,3105,10000798,demand,2022-05-02 20:19:00,2022-05-02 21:03:00
FP_0000566,5143001,3105,10000798,demand,2022-05-04 00:52:40,2022-05-04 01:07:20
