res_grp_cd,res_grp_nm,res_cd,res_nm,item_cd,item_nm,yymmdd,time_index_type,prod_qty
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124414,중국 청도법인 말랑카우 밀크 63g,2022-05-03,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124414,중국 청도법인 말랑카우 밀크 63g,2022-05-03,N,1000.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-05-02,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-05-02,N,535.45
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-05-03,D,3927.27
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124786,말랑카우 밀크 8봉 158g,2022-05-03,N,857.27
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124787,말랑카우 딸기 8봉 158g,2022-05-02,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5124787,말랑카우 딸기 8봉 158g,2022-05-02,N,1830.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5125825,중국 청도법인 말랑카우 딸기 63g,2022-05-03,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5125825,중국 청도법인 말랑카우 딸기 63g,2022-05-03,N,876.36
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5125825,중국 청도법인 말랑카우 딸기 63g,2022-05-04,D,123.64
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5125825,중국 청도법인 말랑카우 딸기 63g,2022-05-04,N,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5129867,말랑카우 밀크 79g (LS),2022-05-02,D,230.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5129867,말랑카우 밀크 79g (LS),2022-05-02,N,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5129868,말랑카우 딸기 79g (LS),2022-05-03,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5129868,말랑카우 딸기 79g (LS),2022-05-03,N,1193.6399999999999
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5140686,일본 ISI 말랑카우 밀크 63g,2022-05-02,D,670.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5140686,일본 ISI 말랑카우 밀크 63g,2022-05-02,N,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5141313,일본 말랑카우 딸기 63g,2022-05-02,D,409.09
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5141313,일본 말랑카우 딸기 63g,2022-05-02,N,364.55
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5142182,할로윈 말랑카우 딸기 158g,2022-05-02,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5142182,할로윈 말랑카우 딸기 158g,2022-05-02,N,363.64
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5142900,메가톤 먹은 말랑카우 79g (E24),2022-05-02,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5142900,메가톤 먹은 말랑카우 79g (E24),2022-05-02,N,430.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5142900,메가톤 먹은 말랑카우 79g (E24),2022-05-04,D,90.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5142900,메가톤 먹은 말랑카우 79g (E24),2022-05-04,N,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5143001,메가톤 먹은 말랑카우 158g (E),2022-05-02,D,0.0
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5143001,메가톤 먹은 말랑카우 158g (E),2022-05-02,N,403.64
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5143001,메가톤 먹은 말랑카우 158g (E),2022-05-04,D,243.64
3105,평캔C-1,10000798,평택_캔디_C-1^BOX 제함기,5143001,메가톤 먹은 말랑카우 158g (E),2022-05-04,N,0.0
3203,평비S-1,10001360,"평택_비스켓_S/L-1,2^SET UP 포장기 #1",5101327,대만쿠마 카스타드 6봉 138g,2022-05-03,D,20.0
3203,평비S-1,10001360,"평택_비스켓_S/L-1,2^SET UP 포장기 #1",5101327,대만쿠마 카스타드 6봉 138g,2022-05-03,N,0.0
3203,평비S-1,10001360,"평택_비스켓_S/L-1,2^SET UP 포장기 #1",5107671,카스타드 138g,2022-05-02,D,4433.33
3203,평비S-1,10001360,"평택_비스켓_S/L-1,2^SET UP 포장기 #1",5107671,카스타드 138g,2022-05-02,N,4800.0
3203,평비S-1,10001360,"평택_비스켓_S/L-1,2^SET UP 포장기 #1",5107671,카스타드 138g,2022-05-03,D,4780.0
3203,평비S-1,10001360,"평택_비스켓_S/L-1,2^SET UP 포장기 #1",5107671,카스타드 138g,2022-05-03,N,4800.0
3203,평비S-1,10001360,"평택_비스켓_S/L-1,2^SET UP 포장기 #1",5107671,카스타드 138g,2022-05-04,D,1186.67
