res_grp_cd,res_grp_nm,res_cd,res_nm,item_cd,item_nm,yymmdd,time_index_type,prod_qty
2103,양비HARD-2,10001107,양산_비스켓_H/L-2^SET UP 포장기 #1,5142865,빠다코코낫 벌크 300g(N),2022-05-02,D,1984.62
2103,양비HARD-2,10001107,양산_비스켓_H/L-2^SET UP 포장기 #1,5142865,빠다코코낫 벌크 300g(N),2022-05-02,N,3015.38
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5140989,빠다코코낫 단품 100g px,2022-05-02,D,2000.0
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5140989,빠다코코낫 단품 100g px,2022-05-02,N,0.0
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5140989,빠다코코낫 단품 100g px,2022-05-03,D,0.0
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5140989,빠다코코낫 단품 100g px,2022-05-03,N,2000.0
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5142864,빠다코코낫 단품 100g(N),2022-05-02,D,580.0
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5142864,빠다코코낫 단품 100g(N),2022-05-02,N,4320.0
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5142864,빠다코코낫 단품 100g(N),2022-05-03,D,4320.0
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5142864,빠다코코낫 단품 100g(N),2022-05-03,N,2320.0
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5142864,빠다코코낫 단품 100g(N),2022-05-04,D,4320.0
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5142864,빠다코코낫 단품 100g(N),2022-05-04,N,4320.0
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5142864,빠다코코낫 단품 100g(N),2022-05-05,D,2820.0
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5142864,빠다코코낫 단품 100g(N),2022-05-05,N,0.0
2104,양비HARD-3,10001142,양산_비스켓_H/L-3^SET UP 포장기 #2,5125187,칸쵸 단품 54g,2022-05-02,D,4418.57
2104,양비HARD-3,10001142,양산_비스켓_H/L-3^SET UP 포장기 #2,5125187,칸쵸 단품 54g,2022-05-02,N,331.43
2104,양비HARD-3,10001142,양산_비스켓_H/L-3^SET UP 포장기 #2,5142258,까망칸쵸 바닐라 단품 47g,2022-05-02,D,210.0
2104,양비HARD-3,10001142,양산_비스켓_H/L-3^SET UP 포장기 #2,5142258,까망칸쵸 바닐라 단품 47g,2022-05-02,N,0.0
2104,양비HARD-3,10001142,양산_비스켓_H/L-3^SET UP 포장기 #2,5142258,까망칸쵸 바닐라 단품 47g,2022-05-03,D,4421.43
2104,양비HARD-3,10001142,양산_비스켓_H/L-3^SET UP 포장기 #2,5142258,까망칸쵸 바닐라 단품 47g,2022-05-03,N,6171.43
2104,양비HARD-3,10001142,양산_비스켓_H/L-3^SET UP 포장기 #2,5142258,까망칸쵸 바닐라 단품 47g,2022-05-04,D,1920.0
2104,양비HARD-3,10001142,양산_비스켓_H/L-3^SET UP 포장기 #2,5142258,까망칸쵸 바닐라 단품 47g,2022-05-04,N,0.0
2114,양초DIPPING-5,10002700,양산_초코_DIPPING-5_펀젤 박스 셋 업,5101343,수출공통 FUNZELS 30g,2022-05-02,D,795.0
2114,양초DIPPING-5,10002700,양산_초코_DIPPING-5_펀젤 박스 셋 업,5101343,수출공통 FUNZELS 30g,2022-05-02,N,1080.0
2114,양초DIPPING-5,10002700,양산_초코_DIPPING-5_펀젤 박스 셋 업,5101343,수출공통 FUNZELS 30g,2022-05-03,D,1080.0
2114,양초DIPPING-5,10002700,양산_초코_DIPPING-5_펀젤 박스 셋 업,5101343,수출공통 FUNZELS 30g,2022-05-03,N,1080.0
2114,양초DIPPING-5,10002700,양산_초코_DIPPING-5_펀젤 박스 셋 업,5101343,수출공통 FUNZELS 30g,2022-05-04,D,1080.0
2114,양초DIPPING-5,10002700,양산_초코_DIPPING-5_펀젤 박스 셋 업,5101343,수출공통 FUNZELS 30g,2022-05-04,N,1080.0
2114,양초DIPPING-5,10002700,양산_초코_DIPPING-5_펀젤 박스 셋 업,5101343,수출공통 FUNZELS 30g,2022-05-05,D,1080.0
2114,양초DIPPING-5,10002700,양산_초코_DIPPING-5_펀젤 박스 셋 업,5101343,수출공통 FUNZELS 30g,2022-05-05,N,725.0
2111,양초DIPPING-4,10002808,양산_초코_DIPPING-4^BOX SET UP M/C #1,5129955,빼빼로 화이트쿠키 37g,2022-05-02,D,980.0
2111,양초DIPPING-4,10002808,양산_초코_DIPPING-4^BOX SET UP M/C #1,5129955,빼빼로 화이트쿠키 37g,2022-05-02,N,1728.0
2111,양초DIPPING-4,10002808,양산_초코_DIPPING-4^BOX SET UP M/C #1,5129955,빼빼로 화이트쿠키 37g,2022-05-03,D,1728.0
2111,양초DIPPING-4,10002808,양산_초코_DIPPING-4^BOX SET UP M/C #1,5129955,빼빼로 화이트쿠키 37g,2022-05-03,N,1728.0
2111,양초DIPPING-4,10002808,양산_초코_DIPPING-4^BOX SET UP M/C #1,5129955,빼빼로 화이트쿠키 37g,2022-05-04,D,1728.0
2111,양초DIPPING-4,10002808,양산_초코_DIPPING-4^BOX SET UP M/C #1,5129955,빼빼로 화이트쿠키 37g,2022-05-04,N,1728.0
2111,양초DIPPING-4,10002808,양산_초코_DIPPING-4^BOX SET UP M/C #1,5129955,빼빼로 화이트쿠키 37g,2022-05-05,D,1728.0
2111,양초DIPPING-4,10002808,양산_초코_DIPPING-4^BOX SET UP M/C #1,5129955,빼빼로 화이트쿠키 37g,2022-05-05,N,1728.0
2111,양초DIPPING-4,10002808,양산_초코_DIPPING-4^BOX SET UP M/C #1,5129955,빼빼로 화이트쿠키 37g,2022-05-06,D,424.0
2111,양초DIPPING-4,10002808,양산_초코_DIPPING-4^BOX SET UP M/C #1,5129955,빼빼로 화이트쿠키 37g,2022-05-06,N,0.0
2111,양초DIPPING-4,10002808,양산_초코_DIPPING-4^BOX SET UP M/C #1,5142646,빼빼로 꼬깔콘 35g,2022-05-02,D,220.0
2111,양초DIPPING-4,10002808,양산_초코_DIPPING-4^BOX SET UP M/C #1,5142646,빼빼로 꼬깔콘 35g,2022-05-02,N,0.0
2111,양초DIPPING-4,10002811,양산_초코_DIPPING-4^BOX SET UP M/C #2,5129181,화이트쿠키 빼빼로 132g,2022-05-02,D,1262.0
2111,양초DIPPING-4,10002811,양산_초코_DIPPING-4^BOX SET UP M/C #2,5129181,화이트쿠키 빼빼로 132g,2022-05-02,N,1728.0
2111,양초DIPPING-4,10002811,양산_초코_DIPPING-4^BOX SET UP M/C #2,5129181,화이트쿠키 빼빼로 132g,2022-05-03,D,1510.0
2111,양초DIPPING-4,10002811,양산_초코_DIPPING-4^BOX SET UP M/C #2,5129181,화이트쿠키 빼빼로 132g,2022-05-03,N,0.0
2111,양초DIPPING-4,10002811,양산_초코_DIPPING-4^BOX SET UP M/C #2,5142704,꼬깔콘 빼빼로 124g,2022-05-02,D,10.0
2111,양초DIPPING-4,10002811,양산_초코_DIPPING-4^BOX SET UP M/C #2,5142704,꼬깔콘 빼빼로 124g,2022-05-02,N,0.0
2109,양초DIPPING-2,10005544,양산_초코_DIPPING-2^BOX SET UP M/C,5141684,크런키 빼빼로 39g,2022-05-02,D,1200.0
2109,양초DIPPING-2,10005544,양산_초코_DIPPING-2^BOX SET UP M/C,5141684,크런키 빼빼로 39g,2022-05-02,N,1728.0
2109,양초DIPPING-2,10005544,양산_초코_DIPPING-2^BOX SET UP M/C,5141684,크런키 빼빼로 39g,2022-05-03,D,1072.0
2109,양초DIPPING-2,10005544,양산_초코_DIPPING-2^BOX SET UP M/C,5141684,크런키 빼빼로 39g,2022-05-03,N,0.0
2109,양초DIPPING-2,10005544,양산_초코_DIPPING-2^BOX SET UP M/C,5141684,크런키 빼빼로 39g,2022-05-06,D,0.0
2109,양초DIPPING-2,10005544,양산_초코_DIPPING-2^BOX SET UP M/C,5141684,크런키 빼빼로 39g,2022-05-06,N,624.0
2109,양초DIPPING-2,10005544,양산_초코_DIPPING-2^BOX SET UP M/C,5141684,크런키 빼빼로 39g,2022-05-09,D,1200.0
2109,양초DIPPING-2,10005544,양산_초코_DIPPING-2^BOX SET UP M/C,5141684,크런키 빼빼로 39g,2022-05-09,N,1728.0
2109,양초DIPPING-2,10005544,양산_초코_DIPPING-2^BOX SET UP M/C,5141684,크런키 빼빼로 39g,2022-05-10,D,1728.0
2109,양초DIPPING-2,10005544,양산_초코_DIPPING-2^BOX SET UP M/C,5141684,크런키 빼빼로 39g,2022-05-10,N,1720.0
2109,양초DIPPING-2,10005544,양산_초코_DIPPING-2^BOX SET UP M/C,5141729,크런키 빼빼로 140g,2022-05-04,D,12.0
2109,양초DIPPING-2,10005544,양산_초코_DIPPING-2^BOX SET UP M/C,5141729,크런키 빼빼로 140g,2022-05-04,N,1728.0
2109,양초DIPPING-2,10005544,양산_초코_DIPPING-2^BOX SET UP M/C,5141729,크런키 빼빼로 140g,2022-05-05,D,1728.0
2109,양초DIPPING-2,10005544,양산_초코_DIPPING-2^BOX SET UP M/C,5141729,크런키 빼빼로 140g,2022-05-05,N,1728.0
2109,양초DIPPING-2,10005544,양산_초코_DIPPING-2^BOX SET UP M/C,5141729,크런키 빼빼로 140g,2022-05-06,D,1728.0
2109,양초DIPPING-2,10005544,양산_초코_DIPPING-2^BOX SET UP M/C,5141729,크런키 빼빼로 140g,2022-05-06,N,576.0
2109,양초DIPPING-2,10005544,양산_초코_DIPPING-2^BOX SET UP M/C,5141954,수출공통 크런키빼빼로 39g,2022-05-03,D,656.0
2109,양초DIPPING-2,10005544,양산_초코_DIPPING-2^BOX SET UP M/C,5141954,수출공통 크런키빼빼로 39g,2022-05-03,N,1728.0
2109,양초DIPPING-2,10005544,양산_초코_DIPPING-2^BOX SET UP M/C,5141954,수출공통 크런키빼빼로 39g,2022-05-04,D,1716.0
2109,양초DIPPING-2,10005544,양산_초코_DIPPING-2^BOX SET UP M/C,5141954,수출공통 크런키빼빼로 39g,2022-05-04,N,0.0
2110,양초DIPPING-3,10005762,양산_초코_DIPPING-3^BOX SET UP,5141684,크런키 빼빼로 39g,2022-05-02,D,1032.69
2110,양초DIPPING-3,10005762,양산_초코_DIPPING-3^BOX SET UP,5141684,크런키 빼빼로 39g,2022-05-02,N,1661.54
2110,양초DIPPING-3,10005762,양산_초코_DIPPING-3^BOX SET UP,5141684,크런키 빼빼로 39g,2022-05-03,D,1661.54
2110,양초DIPPING-3,10005762,양산_초코_DIPPING-3^BOX SET UP,5141684,크런키 빼빼로 39g,2022-05-03,N,1661.54
2110,양초DIPPING-3,10005762,양산_초코_DIPPING-3^BOX SET UP,5141684,크런키 빼빼로 39g,2022-05-04,D,1661.54
2110,양초DIPPING-3,10005762,양산_초코_DIPPING-3^BOX SET UP,5141684,크런키 빼빼로 39g,2022-05-04,N,1661.54
2110,양초DIPPING-3,10005762,양산_초코_DIPPING-3^BOX SET UP,5141684,크런키 빼빼로 39g,2022-05-05,D,1659.62
2110,양초DIPPING-3,10005762,양산_초코_DIPPING-3^BOX SET UP,5141684,크런키 빼빼로 39g,2022-05-05,N,0.0
2110,양초DIPPING-3,10005762,양산_초코_DIPPING-3^BOX SET UP,5142857,21Y 제주 감귤 빼빼로 37g,2022-05-02,D,90.0
2110,양초DIPPING-3,10005762,양산_초코_DIPPING-3^BOX SET UP,5142857,21Y 제주 감귤 빼빼로 37g,2022-05-02,N,0.0
2104,양비HARD-3,10005902,양산_비스켓_H/L-3＾SET-UP 포장기 #1,5125187,칸쵸 단품 54g,2022-05-02,D,4628.57
2104,양비HARD-3,10005902,양산_비스켓_H/L-3＾SET-UP 포장기 #1,5125187,칸쵸 단품 54g,2022-05-02,N,6171.43
2104,양비HARD-3,10005902,양산_비스켓_H/L-3＾SET-UP 포장기 #1,5125187,칸쵸 단품 54g,2022-05-03,D,1750.0
2104,양비HARD-3,10005902,양산_비스켓_H/L-3＾SET-UP 포장기 #1,5125187,칸쵸 단품 54g,2022-05-03,N,0.0
2104,양비HARD-3,10005902,양산_비스켓_H/L-3＾SET-UP 포장기 #1,5142258,까망칸쵸 바닐라 단품 47g,2022-05-03,D,4421.43
2104,양비HARD-3,10005902,양산_비스켓_H/L-3＾SET-UP 포장기 #1,5142258,까망칸쵸 바닐라 단품 47g,2022-05-03,N,6171.43
2104,양비HARD-3,10005902,양산_비스켓_H/L-3＾SET-UP 포장기 #1,5142258,까망칸쵸 바닐라 단품 47g,2022-05-04,D,1750.0
2104,양비HARD-3,10005902,양산_비스켓_H/L-3＾SET-UP 포장기 #1,5142258,까망칸쵸 바닐라 단품 47g,2022-05-04,N,0.0
2105,양비HARD-4,10006325,양산_비스켓_H/L-4^SET UP 포장기 #2,5142867,제크 오리지널 벌크 300g(N),2022-05-03,D,0.0
2105,양비HARD-4,10006325,양산_비스켓_H/L-4^SET UP 포장기 #2,5142867,제크 오리지널 벌크 300g(N),2022-05-03,N,2200.0
2105,양비HARD-4,10006325,양산_비스켓_H/L-4^SET UP 포장기 #2,5142867,제크 오리지널 벌크 300g(N),2022-05-04,D,2080.0
2105,양비HARD-4,10006325,양산_비스켓_H/L-4^SET UP 포장기 #2,5142867,제크 오리지널 벌크 300g(N),2022-05-04,N,0.0
2105,양비HARD-4,10006325,양산_비스켓_H/L-4^SET UP 포장기 #2,5142871,하비스트 오리지널 벌크 300g(N),2022-05-02,D,782.61
2105,양비HARD-4,10006325,양산_비스켓_H/L-4^SET UP 포장기 #2,5142871,하비스트 오리지널 벌크 300g(N),2022-05-02,N,1878.2600000000002
2105,양비HARD-4,10006325,양산_비스켓_H/L-4^SET UP 포장기 #2,5142871,하비스트 오리지널 벌크 300g(N),2022-05-03,D,1878.26
2105,양비HARD-4,10006325,양산_비스켓_H/L-4^SET UP 포장기 #2,5142871,하비스트 오리지널 벌크 300g(N),2022-05-03,N,60.87
2105,양비HARD-4,10015408,양산_비스켓_H/L-4^제함기,5141844,겡끼 하비스트 달콤고소,2022-05-03,D,0.0
2105,양비HARD-4,10015408,양산_비스켓_H/L-4^제함기,5141844,겡끼 하비스트 달콤고소,2022-05-03,N,840.0
2105,양비HARD-4,10015408,양산_비스켓_H/L-4^제함기,5141844,겡끼 하비스트 달콤고소,2022-05-10,D,0.0
2105,양비HARD-4,10015408,양산_비스켓_H/L-4^제함기,5141844,겡끼 하비스트 달콤고소,2022-05-10,N,1770.0
2105,양비HARD-4,10015408,양산_비스켓_H/L-4^제함기,5141844,겡끼 하비스트 달콤고소,2022-05-11,D,3600.0
2105,양비HARD-4,10015408,양산_비스켓_H/L-4^제함기,5141844,겡끼 하비스트 달콤고소,2022-05-11,N,2670.0
